kW,HP,FLC_Star,FLC_Delta,MPCB_Schneider_Model,MPCB_Schneider_Range,MPCB_Schneider_Next_Model,MPCB_Schneider_Next_Range,MPCB_ABB_Model,MPCB_ABB_Range,Contactor_ABB,Contactor_ABB_Amp,Contactor_Siemens,Contactor_Siemens_Amp,Contactor_L&T,Contactor_L&T_Amp,Cable_Al,Cable_Cu,Cable_Gland,Bearing_ABB_DE,Bearing_ABB_NDE,Bearing_Siemens_DE,Bearing_Siemens_NDE
4.07,5.46,7.33,12.7,GV2ME10,6–10 A,GV2ME14,9–14 A,MS116-10,6–10 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
4.44,5.95,7.99,13.84,GV2ME10,6–10 A,GV2ME14,9–14 A,MS116-10,6–10 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
4.81,6.45,8.66,15.0,GV2ME10,6–10 A,GV2ME14,9–14 A,MS116-10,6–10 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
5.18,6.95,9.32,16.14,GV2ME10,6–10 A,GV2ME14,9–14 A,MS116-10,6–10 A,A12-30-10,12 A,3RT2016,12 A,MNX-12,12 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
5.55,7.44,9.99,17.3,GV2ME10,6–10 A,GV2ME14,9–14 A,MS116-10,6–10 A,A12-30-10,12 A,3RT2016,12 A,MNX-12,12 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
5.92,7.94,10.66,18.46,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A12-30-10,12 A,3RT2016,12 A,MNX-12,12 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
6.29,8.43,11.32,19.61,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A12-30-10,12 A,3RT2016,12 A,MNX-12,12 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
6.66,8.93,11.99,20.77,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A12-30-10,12 A,3RT2016,12 A,MNX-12,12 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
7.03,9.43,12.65,21.91,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A16-30-10,16 A,3RT2017,17 A,MNX-18,18 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
7.4,9.92,13.32,23.07,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A16-30-10,16 A,3RT2017,17 A,MNX-18,18 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
7.77,10.42,13.99,24.23,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A16-30-10,16 A,3RT2017,17 A,MNX-18,18 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
8.14,10.92,14.65,25.37,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A16-30-10,16 A,3RT2017,17 A,MNX-18,18 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
8.51,11.41,15.32,26.53,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A16-30-10,16 A,3RT2017,17 A,MNX-18,18 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
8.88,11.91,15.98,27.68,GV2ME14,9–14 A,GV2ME16,13–18 A,MS116-16,10–16 A,A16-30-10,16 A,3RT2017,17 A,MNX-18,18 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
9.25,12.4,16.65,28.84,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
9.62,12.9,17.32,30.0,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
9.99,13.4,17.98,31.14,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
10.36,13.89,18.65,32.3,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
10.73,14.39,19.31,33.44,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
11.1,14.89,19.98,34.61,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
11.47,15.38,20.65,35.77,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
11.84,15.88,21.31,36.91,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
12.21,16.37,21.98,38.07,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
12.58,16.87,22.64,39.21,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
12.95,17.37,23.31,40.37,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
13.32,17.86,23.98,41.53,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
13.69,18.36,24.64,42.68,GV3ME20,17–23 A,GV3ME32,23–32 A,MS325-25,18–25 A,A26-30-10,26 A,3RT2026,25 A,MNX-25,25 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
14.06,18.85,25.31,43.84,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
14.43,19.35,25.97,44.98,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
14.8,19.85,26.64,46.14,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
15.17,20.34,27.31,47.3,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
15.54,20.84,27.97,48.44,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
15.91,21.34,28.64,49.6,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
16.28,21.83,29.3,50.75,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
16.65,22.33,29.97,51.91,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
17.02,22.82,30.64,53.07,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
17.39,23.32,31.3,54.21,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
17.76,23.82,31.97,55.37,GV3ME32,23–32 A,GV3ME40,30–40 A,MS325-32,25–32 A,A30-30-10,30 A,3RT2035,32 A,MNX-32,32 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
18.13,24.31,32.63,56.52,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
18.5,24.81,33.3,57.68,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
18.87,25.3,33.97,58.84,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
19.24,25.8,34.63,59.98,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
19.61,26.3,35.3,61.14,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
19.98,26.79,35.96,62.28,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
20.35,27.29,36.63,63.44,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
20.72,27.79,37.3,64.6,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
21.09,28.28,37.96,65.75,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A38-30-10,38 A,3RT2036,38 A,MNX-38,38 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
21.46,28.78,38.63,66.91,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
21.83,29.27,39.29,68.05,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
22.2,29.77,39.96,69.21,GV3ME40,30–40 A,GV3ME63,40–63 A,MS325-40,32–40 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
22.57,30.27,40.63,70.37,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
22.94,30.76,41.29,71.51,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
23.31,31.26,41.96,72.67,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
23.68,31.75,42.62,73.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
24.05,32.25,43.29,74.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
24.42,32.75,43.96,76.14,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
24.79,33.24,44.62,77.28,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
25.16,33.74,45.29,78.44,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
25.53,34.24,45.95,79.59,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
25.9,34.73,46.62,80.75,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
26.27,35.23,47.29,81.91,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
26.64,35.72,47.95,83.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
27.01,36.22,48.62,84.21,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
27.38,36.72,49.28,85.35,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
27.75,37.21,49.95,86.51,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A50-30-11,50 A,3RT2045,50 A,MNX-50,50 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
28.12,37.71,50.62,87.67,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
28.49,38.21,51.28,88.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
28.86,38.7,51.95,89.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
29.23,39.2,52.61,91.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
29.6,39.69,53.28,92.28,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
29.97,40.19,53.95,93.44,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
30.34,40.69,54.61,94.58,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
30.71,41.18,55.28,95.74,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
31.08,41.68,55.94,96.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
31.45,42.17,56.61,98.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
31.82,42.67,57.28,99.21,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
32.19,43.17,57.94,100.35,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
32.56,43.66,58.61,101.51,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
32.93,44.16,59.27,102.66,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
33.3,44.66,59.94,103.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
33.67,45.15,60.61,104.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
34.04,45.65,61.27,106.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
34.41,46.14,61.94,107.28,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
34.78,46.64,62.6,108.42,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
35.15,47.14,63.27,109.58,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
35.52,47.63,63.94,110.74,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
35.89,48.13,64.6,111.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A63-30-11,63 A,3RT2055,65 A,MNX-65,65 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
36.26,48.62,65.27,113.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
36.63,49.12,65.93,114.19,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
37.0,49.62,66.6,115.35,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
37.37,50.11,67.27,116.51,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
37.74,50.61,67.93,117.65,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
38.11,51.11,68.6,118.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
38.48,51.6,69.26,119.96,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
38.85,52.1,69.93,121.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
39.22,52.59,70.6,122.28,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
39.59,53.09,71.26,123.42,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
39.96,53.59,71.93,124.58,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
40.33,54.08,72.59,125.73,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
40.7,54.58,73.26,126.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
41.07,55.07,73.93,128.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
